Year,Count
2020,495
2019,861
2018,617
2017,503
2016,393
2015,625
2014,459
2013,432
2012,315
2011,236
2010,241
2009,220
2008,422
2007,293
2006,243
2005,241
2004,185
2003,116
2002,75
2001,49
2000,59
1999,34
1998,58
1997,35
1996,23
1995,68
1994,28
1993,22
1992,19
1991,25
1990,13
1989,11
1988,11
1987,7
1986,2
1984,4
1983,2
1982,3
1981,1
1979,2
1978,1
1972,1
1970,1
1960,1
